"Pomurska";6702;36572;2680296;5.5;6987;35194;2300870;5.0;7264;32803;2305183;4.5;7389;32822;2465323;4.4;7492;32143;2615038;4.3;7739;31599;2586958;4.1
"Podravska";21001;123632;10955343;5.9;22381;120008;9192508;5.4;23147;117443;9632119;5.1;23701;115399;10092169;4.9;24163;112880;9865530;4.7;25115;114826;9921339;4.6
"Koroška";4619;25597;2283659;5.5;4823;24132;1752657;5.0;4911;22846;1840289;4.7;5030;22194;2058028;4.4;5147;22237;2020408;4.3;5325;21900;1955143;4.1
"Savinjska";16841;104819;10013476;6.2;17794;101565;8684503;5.7;18273;98326;8973185;5.4;18696;95407;9552070;5.1;19287;94776;9211070;4.9;20495;93723;9231084;4.6
"Zasavska";2312;12919;926541;5.6;2421;12183;805109;5.0;2478;11846;819967;4.8;2514;11525;853627;4.6;2553;11352;810821;4.4;2609;10913;768467;4.2
"Spodnjeposavska";4519;21030;2049176;4.7;4681;20991;2000585;4.5;4813;19760;2155739;4.1;4843;19021;2689568;3.9;4927;19168;3172289;3.9;5210;19303;2934390;3.7
"Jugovzhodna Slovenija";8268;50213;5961848;6.1;8699;48832;5422208;5.6;8877;47687;5728914;5.4;9068;46407;5685052;5.1;9224;45038;5445191;4.9;9752;44503;5153151;4.6
"Notranjsko-kraška";3608;16738;1303637;4.6;3706;16665;1120466;4.5;3766;16071;1209092;4.3;3829;15067;1278751;3.9;3935;14844;1255416;3.8;4128;14672;1299627;3.6
"Zahodna Slovenija";84671;490078;59612307;5.8;89439;484777;51781307;5.4;92430;475377;54040719;5.1;94290;464526;56115087;4.9;96577;464304;56358811;4.8;101716;466019;56775357;4.6
"Osrednjeslovenska";49653;326972;42402572;6.6;52463;325580;37744272;6.2;54390;319003;39188143;5.9;55798;311818;40716581;5.6;57404;313204;41309817;5.5;60133;318371;41831525;5.3
"Gorenjska";14531;71699;7185299;4.9;15510;69710;5822294;4.5;16165;69847;6213259;4.3;16353;68170;6437933;4.2;16645;68012;6457668;4.1;17776;66355;6340948;3.7
"Goriška";9930;47185;4448113;4.8;10370;45340;3670648;4.4;10514;43931;3885528;4.2;10526;42561;4028942;4.0;10669;41992;3838306;3.9;11146;41079;3709793;3.7
"Obalno-kraška";10557;44222;5576322;4.2;11096;44147;4544093;4.0;11361;42596;4753789;3.7;11613;41977;4931630;3.6;11859;41096;4753021;3.5;12661;40214;4893091;3.2
