"Pomurska";640.31;669.38;715.42;775.07;826.02;873.88;883.09;891.27;897.19
"Podravska";695.22;731.11;786.19;841.63;871.22;904.55;917.78;920.83;924.01
"Koroška";665.40;695.18;746.73;808.57;834.68;884.74;913.57;920.62;931.96
"Savinjska";684.58;717.99;767.59;825.55;844.84;892.80;916.61;920.72;927.71
"Zasavska";703.47;734.61;787.07;857.76;884.88;915.48;940.82;922.41;934.58
"Spodnjeposavska";679.82;715.99;781.59;843.79;870.75;903.70;929.80;936.70;938.05
"Jugovzhodna Slovenija";712.61;748.07;806.86;876.04;902.26;950.02;980.34;989.55;999.64
"Notranjsko-kraška";665.52;698.99;751.01;808.45;823.16;852.50;887.86;885.11;895.93
"Zahodna Slovenija";778.83;819.57;887.37;957.47;988.90;1020.89;1041.39;1044.85;1049.32
"Osrednjeslovenska";808.72;849.15;921.17;996.81;1031.42;1060.59;1081.86;1082.59;1083.75
"Gorenjska";721.09;759.22;816.80;880.64;899.98;940.13;960.77;974.54;992.31
"Goriška";733.06;776.40;840.63;887.49;907.13;950.96;967.10;963.61;969.71
"Obalno-kraška";732.42;772.86;833.24;901.03;935.38;961.04;978.75;980.18;979.33
